"{:calorie=>""Calorie Counter"", :kilojoule=>""Kilojoule Counter""}",,,,,,,,
Printable Diary forÿUnsraw,,,,,,,,
From:,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Show:,,,,,,,,
ÿFood Diary,,,,,,,,
ÿFood Notes,,,,,,,,
To:,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ÿExercise Diary,,,,,,,,
ÿExercise notes,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1-Jan-12,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Lettuce - Cos or romaine, raw, 6 leaf outer",29,6g,1g,2g,0mg,13mg,2g,4g
"Danon - Plain Nonfat Yogurt, 1 cup",110,16g,0g,11g,5mg,150mg,15g,0g
"Generic - Grain Oatmeal Dry .5 Cup, 1.25 cup (39g dry)",350,65g,6g,13g,0mg,0mg,0g,10g
"Seeds - Flax Seeds, 2.5 tablespoons",138,7g,10g,5g,0mg,0mg,1g,18g
Lunch,,,,,,,,
"Mori-Nu - Silken Tofu Firm, 1 container (12 oz (84g about 1"" slice) ea.)",200,8g,10g,24g,0mg,120mg,0g,0g
"Generic - Hijiki Salad, 2 oz",62,10g,0g,1g,0mg,0mg,7g,1g
Dinner,,,,,,,,
"Lettuce - Cos or romaine, raw, 6 leaf outer",29,6g,1g,2g,0mg,13mg,2g,4g
"Danon - Plain Nonfat Yogurt, 1 cup",110,16g,0g,11g,5mg,150mg,15g,0g
"Seeds - Flax Seeds, 2.5 tablespoons",138,7g,10g,5g,0mg,0mg,1g,18g
"Generic - Grain Oatmeal Dry .5 Cup, 0.75 cup (39g dry)",210,39g,4g,8g,0mg,0mg,0g,6g
Snacks,,,,,,,,
"Bread - Rye, toasted, 1 oz",80,15g,1g,3g,0mg,205mg,0g,2g
"Muscle Milk - Cytosport - 100% Whey Protein Powder - Chocolate, 1 scoop",140,3g,2g,27g,60mg,150mg,1g,1g
"Fage Total 0% - Greek Yougart, 1.5 cup",195,14g,0g,35g,0mg,128mg,14g,0g
"Diamond of California - Premium Mixed Inshell Nuts , 16.88 assorted nuts",214,5g,21g,6g,0mg,0mg,1g,2g
TOTAL:,"2,005",217g,66g,153g,70mg,929mg,59g,66g
2-Jan-12,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
"Lettuce - Cos or romaine, raw, 6 leaf outer",29,6g,1g,2g,0mg,13mg,2g,4g
"Danon - Plain Nonfat Yogurt, 1 cup",110,16g,0g,11g,5mg,150mg,15g,0g
"Seeds - Flax Seeds, 2.5 tablespoons",138,7g,10g,5g,0mg,0mg,1g,18g
Lunch,,,,,,,,
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
"Danon - Plain Nonfat Yogurt, 1 cup",110,16g,0g,11g,5mg,150mg,15g,0g
"Lettuce - Cos or romaine, raw, 3 leaf outer",14,3g,0g,1g,0mg,7mg,1g,2g
"Seeds - Flax Seeds, 2.5 tablespoons",138,7g,10g,5g,0mg,0mg,1g,18g
Dinner,,,,,,,,
"Nasoya - Firm Tofu, 2/5 Package",140,4g,6g,14g,0mg,0mg,0g,2g
Snacks,,,,,,,,
"Fish - Tuna salad, 0.25 cup",96,5g,5g,8g,7mg,206mg,0g,0g
"Fage Total 0% - Greek Yougart, 1.13 cup",146,10g,0g,26g,0mg,96mg,10g,0g
"Muscle Milk - Cytosport - 100% Whey Protein Powder - Chocolate, 1 scoop",140,3g,2g,27g,60mg,150mg,1g,1g
"Get Crackin' - Wonderful Pistachios, 30 g",160,8g,14g,6g,0mg,160mg,2g,3g
TOTAL:,"1,781",189g,58g,136g,77mg,932mg,48g,64g
3-Jan-12,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
"Lettuce - Cos or romaine, raw, 6 leaf outer",29,6g,1g,2g,0mg,13mg,2g,4g
"Danon - Plain Nonfat Yogurt, 1 cup",110,16g,0g,11g,5mg,150mg,15g,0g
"Seeds - Flax Seeds, 2.5 tablespoons",138,7g,10g,5g,0mg,0mg,1g,18g
Lunch,,,,,,,,
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
"Seeds - Flax Seeds, 2.5 tablespoons",138,7g,10g,5g,0mg,0mg,1g,18g
"Lettuce - Cos or romaine, raw, 3 leaf outer",14,3g,0g,1g,0mg,7mg,1g,2g
Dinner,,,,,,,,
"Starkist - Chunk Light Tuna In Water (12 oz. Can), 10 oz (drained)",250,0g,3g,55g,125mg,850mg,0g,0g
"Mayonnaise - Mayonnaise, 2 tbsp",200,0g,20g,0g,10mg,190mg,0g,0g
"Steak Ornan - Beef - Sirloin, 1 oz",59,0g,3g,9g,0mg,0mg,1g,0g
