Date,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
1-Jan-14,1878,207,61,156,665,946,23,74
2-Jan-14,1527,169,69,82,760,546,39,63
3-Jan-14,1227,113,55,66,760,889,21,40
4-Jan-14,1541,144,66,128,799,1146,35,49
5-Jan-14,1504,131,66,75,427,1853,33,30
6-Jan-14,1512,137,67,131,855,1053,24,53
7-Jan-14,1486,152,70,99,840,1329,25,58
8-Jan-14,1550,172,53,138,855,1226,28,68
9-Jan-14,1477,174,57,98,840,1160,28,64
10-Jan-14,1438,186,59,76,750,840,31,58
11-Jan-14,1642,203,47,134,180,2188,41,75
12-Jan-14,1228,132,55,72,750,2567,23,42
13-Jan-14,1321,178,42,75,955,622,34,34
14-Jan-14,1625,161,51,138,855,851,30,44
15-Jan-14,1348,143,56,78,815,1012,28,36
16-Jan-14,1216,138,45,81,842,713,28,39
17-Jan-14,1513,118,63,144,941,1070,28,25
18-Jan-14,2323,273,82,164,584,5613,68,77
19-Jan-14,1481,216,68,67,836,1386,57,37
20-Jan-14,1242,159,55,56,752,638,35,40
21-Jan-14,1568,167,57,135,855,837,33,42
22-Jan-14,1359,178,55,85,1015,818,31,41
23-Jan-14,1331,148,60,85,1043,1001,31,33
24-Jan-14,1319,139,59,77,770,1168,26,38
25-Jan-14,1801,150,57,182,502,1010,65,44
26-Jan-14,1288,161,43,117,795,551,30,76
27-Jan-14,1274,164,43,129,810,573,26,89
28-Jan-14,1357,199,52,114,1122,791,24,115
29-Jan-14,1606,159,70,137,885,909,25,76
30-Jan-14,1405,189,54,108,1120,759,24,104
31-Jan-14,993,66,79,27,45,394,16,24
1-Feb-14,1941,208,63,140,531,1424,66,62
2-Feb-14,1168,112,56,60,389,467,28,41
3-Feb-14,1083,115,59,62,808,609,22,54
4-Feb-14,1385,174,51,121,913,2069,23,91
5-Feb-14,1621,200,55,153,898,918,27,105
6-Feb-14,1368,169,45,117,883,876,21,83
7-Feb-14,1373,123,75,80,786,791,19,60
8-Feb-14,2298,261,73,150,605,2093,95,53
9-Feb-14,820,58,58,33,434,412,10,18
10-Feb-14,1270,156,44,98,853,769,22,67
11-Feb-14,1443,131,48,134,883,759,23,40
12-Feb-14,1314,162,44,99,853,742,25,68
13-Feb-14,1432,184,48,112,783,929,29,75
14-Feb-14,1401,190,56,90,748,717,39,79
15-Feb-14,1807,77,85,191,521,1980,55,7
16-Feb-14,1242,139,58,76,793,670,21,51
17-Feb-14,1261,133,49,97,844,876,19,52
18-Feb-14,1295,119,56,92,838,792,19,41
19-Feb-14,1688,142,55,170,908,1087,26,54
20-Feb-14,1424,151,53,125,918,2562,24,70
21-Feb-14,1607,187,55,119,467,3049,32,69
22-Feb-14,2335,271,84,129,168,1973,119,45
23-Feb-14,623,75,36,40,374,218,9,42
24-Feb-14,1476,145,56,139,711,836,24,69
25-Feb-14,1358,142,60,101,838,828,20,68
26-Feb-14,1986,203,66,194,913,1565,54,78
27-Feb-14,1953,235,63,162,853,2049,59,82
28-Feb-14,3218,347,104,258,480,3968,111,64
1-Mar-14,1208,90,77,81,883,827,17,48
2-Mar-14,1410,132,51,120,838,1023,27,43
3-Mar-14,1650,137,59,158,838,1152,28,44
4-Mar-14,1372,117,53,113,838,926,19,40
5-Mar-14,1806,143,64,179,838,1222,22,45
6-Mar-14,1324,110,52,110,838,953,17,38
7-Mar-14,1975,169,64,221,840,1601,29,54
8-Mar-14,1685,200,48,189,768,1076,25,97
9-Mar-14,1835,189,64,201,594,1025,42,90
10-Mar-14,1696,218,49,150,748,812,26,108
11-Mar-14,1668,68,80,149,791,1312,11,27
12-Mar-14,1822,193,46,192,793,990,35,78
13-Mar-14,1925,206,53,186,882,976,40,81
14-Mar-14,2076,144,95,164,962,2688,46,33
15-Mar-14,1579,171,53,172,993,1207,26,89
16-Mar-14,1859,194,75,144,1122,970,54,71
17-Mar-14,1740,153,67,160,1122,1026,30,68
18-Mar-14,1450,160,58,133,838,965,19,88
19-Mar-14,1796,162,69,159,748,1043,39,67
20-Mar-14,1728,146,64,148,768,1209,44,30
21-Mar-14,1497,119,71,128,748,884,29,61
22-Mar-14,2300,137,90,216,710,1481,23,35
23-Mar-14,1329,103,53,135,984,807,20,49
24-Mar-14,1790,158,63,200,615,1087,23,80
25-Mar-14,1737,160,70,177,534,1306,22,79
26-Mar-14,1810,122,78,186,741,1326,24,53
27-Mar-14,1843,141,85,129,858,1347,44,39
28-Mar-14,1866,100,89,195,434,1359,15,50
29-Mar-14,4358,176,296,289,394,2202,37,75
30-Mar-14,1395,90,47,183,374,510,24,44
31-Mar-14,1836,101,75,220,748,640,33,47
1-Apr-14,1920,125,88,184,374,738,18,51
2-Apr-14,751,35,33,77,609,1815,7,13
3-Apr-14,948,30,48,64,913,1211,3,1
4-Apr-14,1270,25,65,134,978,954,11,7
5-Apr-14,1007,8,38,78,845,569,4,0
6-Apr-14,803,19,20,48,173,431,2,0
7-Apr-14,1312,24,98,82,601,1445,7,9
8-Apr-14,1258,26,71,118,640,1270,5,13
9-Apr-14,1832,45,95,187,632,1097,14,14
10-Apr-14,1736,36,97,180,501,2055,8,21
11-Apr-14,1867,56,117,147,200,992,18,18
12-Apr-14,1121,29,73,92,200,876,8,14
13-Apr-14,1503,30,95,127,718,1200,10,12
14-Apr-14,1793,110,68,180,713,744,20,25
15-Apr-14,1432,33,76,110,618,579,8,14
16-Apr-14,2103,103,74,257,776,843,31,22
17-Apr-14,1601,112,68,144,557,582,26,29
18-Apr-14,1889,140,62,202,469,516,31,24
19-Apr-14,1563,32,95,151,898,600,16,15
20-Apr-14,1388,54,64,137,387,515,16,6
21-Apr-14,1400,93,43,124,838,702,27,21
22-Apr-14,1126,34,60,116,874,665,11,15
23-Apr-14,1560,147,41,163,1129,818,40,21
