Date, Weight
9/04/2011, 109.5
9/05/2011, 105.0
9/06/2011, 104.0
9/07/2011, 104.0
9/08/2011, 104.0
9/09/2011, 104.0
9/10/2011, 104.0
9/11/2011, 103.0
9/12/2011, 103.0
9/13/2011, 104.0
9/14/2011, 104.0
9/15/2011, 105.0
9/16/2011, 104.5
9/17/2011, 106.0
9/18/2011, 106.0
9/19/2011, 106.0
9/20/2011, 107.5
9/21/2011, 107.0
9/22/2011, 107.5
9/23/2011, 108.5
9/24/2011, 108.0
9/25/2011, 108.0
9/26/2011, 107.5
9/27/2011, 108.5
9/28/2011, 107.5
9/29/2011, 109.0
9/30/2011, 109.0
10/01/2011, 108.5
10/02/2011, 109.0
10/03/2011, 110.0
10/04/2011, 110.0
10/05/2011, 109.5
10/06/2011, 109.0
10/07/2011, 108.5
10/08/2011, 109.5
10/09/2011, 108.5
10/10/2011, 108.5
10/11/2011, 108.5
10/12/2011, 108.5
10/13/2011, 108.5
10/14/2011, 108.5
10/15/2011, 108.5
10/16/2011, 105.0
10/17/2011, 105.0
10/18/2011, 105.0
10/19/2011, 104.5
10/20/2011, 106.5
10/21/2011, 105.5
10/22/2011, 105.0
10/23/2011, 106.5
10/24/2011, 105.5
10/25/2011, 106.0
10/26/2011, 106.5
10/27/2011, 106.5
10/28/2011, 105.5
10/29/2011, 106.0
10/30/2011, 104.5
10/31/2011, 104.5
11/01/2011, 107.0
11/02/2011, 106.5
11/03/2011, 106.0
11/04/2011, 106.0
11/05/2011, 106.0
11/06/2011, 105.0
11/07/2011, 104.5
11/08/2011, 104.0
11/09/2011, 104.0
11/10/2011, 105.0
11/11/2011, 103.5
11/12/2011, 103.5
11/13/2011, 103.5
11/14/2011, 106.0
11/15/2011, 105.5
11/16/2011, 105.0
11/17/2011, 105.0
11/18/2011, 105.0
11/19/2011, 106.0
11/20/2011, 106.5
11/21/2011, 106.5
11/22/2011, 107.5
11/23/2011, 107.0
11/24/2011, 107.8
11/25/2011, 104.0
11/26/2011, 105.4
11/27/2011, 105.4
11/28/2011, 104.5
11/29/2011, 105.0
11/30/2011, 104.5
12/01/2011, 105.0
12/02/2011, 105.0
12/03/2011, 104.5
12/04/2011, 105.0
12/05/2011, 104.5
12/06/2011, 106.0
12/07/2011, 104.5
12/08/2011, 104.0
12/09/2011, 104.0
12/10/2011, 103.5
12/11/2011, 103.0
12/12/2011, 103.0
12/13/2011, 105.5
12/14/2011, 103.5
12/15/2011, 103.0
12/16/2011, 103.5
12/17/2011, 102.4
12/18/2011, 103.2
12/19/2011, 103.2
12/20/2011, 103.6
12/21/2011, 103.0
12/22/2011, 104.6
12/23/2011, 105.6
12/24/2011, 104.2
12/25/2011, 104.8
12/26/2011, 105.6
12/27/2011, 104.2
12/28/2011, 106.8
12/29/2011, 106.0
12/30/2011, 103.8
12/31/2011, 106.0
1/01/2012, 106.0
1/02/2012, 106.0
1/03/2012, 108.4
1/04/2012, 108.4
1/05/2012, 110.0
1/06/2012, 110.0
1/07/2012, 109.6
1/08/2012, 107.5
1/09/2012, 106.5
1/10/2012, 107.0
1/11/2012, 106.5
1/12/2012, 108.0
1/13/2012, 108.5
1/14/2012, 107.0
1/15/2012, 107.5
1/16/2012, 107.5
1/17/2012, 107.5
1/18/2012, 107.5
1/19/2012, 109.0
1/20/2012, 108.5
1/21/2012, 108.5
1/22/2012, 108.0
1/23/2012, 109.5
1/24/2012, 109.0
1/25/2012, 109.0
1/26/2012, 107.5
1/27/2012, 108.5
1/28/2012, 108.5
1/29/2012, 109.0
1/30/2012, 108.5
1/31/2012, 108.5
2/01/2012, 109.0
2/02/2012, 109.5
2/03/2012, 107.5
2/04/2012, 108.0
2/05/2012, 107.0
2/06/2012, 108.5
2/07/2012, 109.0
2/08/2012, 110.5
2/09/2012, 108.5
2/10/2012, 108.5
2/11/2012, 109.0
2/12/2012, 109.0
2/13/2012, 108.5
2/14/2012, 108.5
2/15/2012, 109.0
2/16/2012, 109.0
2/17/2012, 110.0
2/18/2012, 108.5
2/19/2012, 108.0
2/20/2012, 108.5
2/21/2012, 108.0
2/22/2012, 107.5
2/23/2012, 108.0
2/24/2012, 108.0
2/25/2012, 108.0
2/26/2012, 108.5
2/27/2012, 108.0
2/28/2012, 108.0
2/29/2012, 108.0
3/01/2012, 108.5
3/02/2012, 108.5
3/03/2012, 108.0
3/04/2012, 108.0
3/05/2012, 107.5
3/06/2012, 107.0
3/07/2012, 108.0
3/08/2012, 107.5
3/09/2012, 107.0
3/10/2012, 106.5
3/11/2012, 107.0
3/12/2012, 107.5
3/13/2012, 107.0
3/14/2012, 108.5
3/15/2012, 108.5
3/16/2012, 108.5
3/17/2012, 109.0
3/18/2012, 109.0
3/19/2012, 108.5
3/20/2012, 108.5
3/21/2012, 108.5
3/22/2012, 109.0
3/23/2012, 109.0
3/24/2012, 109.0
3/25/2012, 108.5
3/26/2012, 109.0
3/27/2012, 109.5
3/28/2012, 109.5
3/29/2012, 109.5
3/30/2012, 109.5
3/31/2012, 108.5
4/01/2012, 108.0
4/02/2012, 108.5
4/03/2012, 109.0
4/04/2012, 109.0
4/05/2012, 109.5
4/06/2012, 109.0
4/07/2012, 110.5
4/08/2012, 111.0
4/09/2012, 110.0
4/10/2012, 110.5
4/11/2012, 110.5
4/12/2012, 109.5
4/13/2012, 110.0
4/14/2012, 110.5
4/15/2012, 108.5
4/16/2012, 110.0
4/17/2012, 110.0
4/18/2012, 110.0
4/19/2012, 109.5
4/20/2012, 109.0
4/21/2012, 109.0
4/22/2012, 109.5
4/23/2012, 109.0
4/24/2012, 109.5
4/25/2012, 109.5
4/26/2012, 109.5
4/27/2012, 109.0
4/28/2012, 108.5
4/29/2012, 109.0
4/30/2012, 110.5
5/01/2012, 110.5
5/02/2012, 109.5
5/03/2012, 111.4
5/04/2012, 111.2
5/05/2012, 111.2
5/06/2012, 110.2
5/07/2012, 109.5
5/08/2012, 108.5
5/09/2012, 108.0
5/10/2012, 108.0
5/11/2012, 108.5
5/12/2012, 108.5
5/13/2012, 107.5
5/14/2012, 108.5
5/15/2012, 108.5
5/16/2012, 109.0
5/17/2012, 109.0
5/18/2012, 109.0
5/19/2012, 109.0
5/20/2012, 108.5
5/21/2012, 107.5
5/22/2012, 107.5
5/23/2012, 106.5
5/24/2012, 108.5
5/25/2012, 108.5
5/26/2012, 108.0
5/27/2012, 109.0
5/28/2012, 108.5
5/29/2012, 108.5
5/30/2012, 108.5
5/31/2012, 108.5
6/01/2012, 108.5
6/02/2012, 104.5
6/03/2012, 104.5
6/04/2012, 106.5
6/05/2012, 106.5
6/06/2012, 106.5
6/07/2012, 106.5
6/08/2012, 106.0
6/09/2012, 104.5
6/10/2012, 105.5
6/11/2012, 107.0
6/12/2012, 107.0
6/13/2012, 106.5
6/14/2012, 108.0
6/15/2012, 107.5
6/16/2012, 107.0
6/17/2012, 107.5
6/18/2012, 107.5
6/19/2012, 107.0
6/20/2012, 107.0
6/21/2012, 107.0
6/22/2012, 108.5
6/23/2012, 107.5
6/24/2012, 107.5
6/25/2012, 108.0
6/26/2012, 109.0
6/27/2012, 109.0
6/28/2012, 109.0
6/29/2012, 109.5
6/30/2012, 108.5
7/01/2012, 108.0
7/02/2012, 108.5
7/03/2012, 107.5
7/04/2012, 109.5
7/05/2012, 108.5
7/06/2012, 108.5
7/07/2012, 109.0
7/08/2012, 108.0
7/09/2012, 109.5
7/10/2012, 109.0
7/11/2012, 110.5
7/12/2012, 110.0
7/13/2012, 110.0
7/14/2012, 109.0
7/15/2012, 108.5
7/16/2012, 110.0
7/17/2012, 110.0
7/18/2012, 109.0
7/19/2012, 109.5
7/20/2012, 110.5
7/21/2012, 110.0
7/22/2012, 109.5
7/23/2012, 110.5
7/24/2012, 110.5
7/25/2012, 110.5
7/26/2012, 110.5
7/27/2012, 111.0
7/28/2012, 112.0
7/29/2012, 109.5
7/30/2012, 109.5
7/31/2012, 109.5
8/01/2012, 109.5
8/02/2012, 110.0
8/03/2012, 110.5
8/04/2012, 110.0
8/05/2012, 109.5
8/06/2012, 110.0
8/07/2012, 110.5
8/08/2012, 110.0
8/09/2012, 110.5
8/10/2012, 111.0
8/11/2012, 110.5
8/12/2012, 108.5
8/13/2012, 110.0
8/14/2012, 110.0
8/15/2012, 110.5
8/16/2012, 111.0
8/17/2012, 110.0
8/18/2012, 110.0
8/19/2012, 110.0
8/20/2012, 110.0
8/21/2012, 110.0
8/22/2012, 110.0
8/23/2012, 110.0
8/24/2012, 107.5
8/25/2012, 107.5
8/26/2012, 106.5
8/27/2012, 106.5
8/28/2012, 107.0
8/29/2012, 108.0
8/30/2012, 108.5
8/31/2012, 108.5
9/01/2012, 108.0
9/02/2012, 108.0
9/03/2012, 109.0
9/04/2012, 109.0
9/05/2012, 110.5
