Date,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
1-Jan-13,1529,194,55,77,0,561,34,49
2-Jan-13,1108,160,38,61,0,467,20,50
3-Jan-13,1161,157,42,66,0,427,27,50
4-Jan-13,1742,263,46,93,0,612,39,55
5-Jan-13,1433,171,49,93,0,808,24,47
6-Jan-13,1892,229,44,159,0,1617,22,66
7-Jan-13,1523,171,44,133,0,1307,22,50
8-Jan-13,1005,132,26,76,0,698,12,39
9-Jan-13,1619,187,45,136,0,1140,27,52
10-Jan-13,1292,165,39,97,0,1367,27,40
11-Jan-13,1664,178,51,144,0,1313,27,51
12-Jan-13,1981,245,46,161,0,1703,24,54
13-Jan-13,2078,263,48,171,0,1721,26,62
14-Jan-13,1307,179,30,94,0,950,22,44
15-Jan-13,1597,191,42,132,0,1438,23,54
16-Jan-13,1434,188,33,108,0,1280,33,46
17-Jan-13,1659,215,41,129,0,1120,43,63
18-Jan-13,887,102,20,86,0,950,6,25
19-Jan-13,2451,346,57,160,5,1282,62,72
20-Jan-13,2316,296,57,176,0,1285,31,76
21-Jan-13,1704,242,31,123,0,1128,43,57
22-Jan-13,1421,164,42,116,0,1010,22,65
23-Jan-13,1777,213,47,140,0,1138,41,82
24-Jan-13,1684,210,37,142,0,893,37,88
25-Jan-13,2389,290,54,200,212,1343,42,89
26-Jan-13,2393,338,52,162,232,1699,31,103
27-Jan-13,2358,324,57,155,302,1495,34,104
28-Jan-13,2405,331,47,175,212,1384,40,97
29-Jan-13,2396,331,57,152,302,1562,39,99
30-Jan-13,2375,326,61,140,302,1342,39,98
31-Jan-13,2442,331,50,179,302,1490,36,86
1-Feb-13,2369,314,60,151,444,1871,32,86
2-Feb-13,2321,327,57,165,302,1249,29,107
3-Feb-13,2384,335,56,173,424,1778,39,102
4-Feb-13,2255,299,62,138,302,1647,34,81
5-Feb-13,2302,324,52,150,232,1417,35,93
6-Feb-13,2302,332,59,148,302,1423,42,98
7-Feb-13,2388,307,63,163,424,1599,37,79
8-Feb-13,2374,335,69,148,444,1645,41,98
9-Feb-13,2094,275,54,131,302,2145,32,91
10-Feb-13,2323,306,61,147,302,1718,37,106
11-Feb-13,2452,308,56,179,514,1661,37,94
12-Feb-13,2304,310,60,144,232,1365,31,99
13-Feb-13,1831,248,56,102,212,599,27,71
14-Feb-13,2371,309,69,140,302,1424,32,108
15-Feb-13,2494,309,64,184,674,1607,39,87
16-Feb-13,2500,342,65,156,305,1250,50,96
17-Feb-13,2470,341,61,152,302,1459,40,96
18-Feb-13,2641,369,63,167,302,1368,43,104
19-Feb-13,2635,341,62,191,679,1507,45,80
20-Feb-13,2550,330,65,172,549,1971,44,97
21-Feb-13,2488,311,65,176,302,1601,41,87
22-Feb-13,2505,305,67,182,679,2065,39,91
23-Feb-13,2516,322,65,175,549,1355,44,89
24-Feb-13,2507,312,66,185,302,1573,34,105
25-Feb-13,2361,319,58,153,302,1279,37,95
26-Feb-13,2452,294,63,194,699,1979,33,96
27-Feb-13,2552,324,62,193,514,1607,32,103
28-Feb-13,2126,282,50,149,302,752,31,106
1-Mar-13,2063,248,50,168,684,797,27,81
2-Mar-13,2239,273,49,181,532,1677,43,93
3-Mar-13,1953,235,41,169,302,1558,40,91
4-Mar-13,2110,241,48,185,472,767,31,72
5-Mar-13,2214,264,52,179,509,1131,40,90
6-Mar-13,2009,247,45,163,302,1072,38,81
7-Mar-13,2158,243,50,190,684,1136,35,73
8-Mar-13,2149,262,38,199,327,1047,47,95
9-Mar-13,1943,235,40,164,302,1072,40,96
10-Mar-13,1240,152,30,96,212,484,23,64
11-Mar-13,1570,163,40,142,302,1120,25,70
12-Mar-13,1255,169,38,72,0,2406,38,46
13-Mar-13,351,19,19,33,60,517,3,4
14-Mar-13,1928,219,49,161,472,771,39,75
15-Mar-13,1696,172,43,157,332,744,28,60
16-Mar-13,1531,167,37,137,90,978,25,70
17-Mar-13,1762,194,44,153,277,1210,34,74
18-Mar-13,1911,201,49,167,502,1517,41,69
19-Mar-13,1797,193,43,167,332,821,30,74
20-Mar-13,1737,217,42,131,302,652,37,80
21-Mar-13,1807,197,46,154,472,1470,42,78
22-Mar-13,1791,206,32,169,332,1478,38,90
23-Mar-13,1943,234,35,174,402,1688,42,96
24-Mar-13,822,70,27,82,90,1130,5,40
25-Mar-13,678,46,45,21,0,434,10,16
26-Mar-13,1019,156,28,37,0,657,2,32
27-Mar-13,1079,69,60,85,347,1649,2,4
28-Mar-13,1504,99,61,36,40,870,5,7
29-Mar-13,1535,177,57,91,80,4168,11,65
30-Mar-13,512,31,23,52,0,404,6,22
31-Mar-13,1325,171,29,98,213,563,34,70
1-Apr-13,1553,201,33,121,317,661,30,72
2-Apr-13,1368,165,35,106,90,819,27,57
3-Apr-13,1513,196,33,117,317,505,36,69
4-Apr-13,1329,165,30,104,90,797,27,56
5-Apr-13,1590,213,33,119,317,534,36,69
6-Apr-13,1686,212,36,134,90,1107,32,65
7-Apr-13,1687,205,36,149,195,829,31,74
8-Apr-13,1419,174,34,106,90,644,26,67
9-Apr-13,1473,199,23,126,195,636,37,69
10-Apr-13,1453,181,30,113,90,666,27,69
11-Apr-13,1688,216,36,131,195,681,40,78
12-Apr-13,1158,143,23,88,212,349,21,60
13-Apr-13,1992,219,35,148,170,1601,31,66
14-Apr-13,1122,131,24,96,90,511,22,55
15-Apr-13,1215,157,27,94,105,355,25,58
16-Apr-13,1300,167,29,91,212,1139,29,58
17-Apr-13,1802,181,56,135,301,992,30,59
18-Apr-13,1376,169,37,92,212,423,27,61
19-Apr-13,1721,221,37,126,195,695,40,74
20-Apr-13,2010,251,44,169,210,2650,53,71
21-Apr-13,1386,158,25,126,150,611,24,62
22-Apr-13,1582,199,35,122,337,976,36,69
23-Apr-13,1625,177,41,133,296,1671,26,61
24-Apr-13,1976,224,53,128,337,1283,93,57
25-Apr-13,993,115,29,74,0,529,15,45
26-Apr-13,1562,161,52,111,63,551,30,69
27-Apr-13,784,105,24,43,5,1334,15,35
28-Apr-13,798,90,32,35,219,2380,39,16
29-Apr-13,978,63,60,31,312,1698,20,18
30-Apr-13,1247,71,72,70,538,1280,28,17
1-May-13,795,72,37,43,794,2076,22,13
2-May-13,2022,130,61,162,629,3141,23,35
3-May-13,847,100,15,72,0,607,21,44
4-May-13,2119,283,39,167,105,1369,37,70
5-May-13,1490,158,28,149,0,507,18,77
6-May-13,1649,190,40,139,260,1197,34,65
7-May-13,1391,176,37,89,0,412,49,66
8-May-13,1771,199,42,154,308,1404,35,67
9-May-13,1611,186,32,136,110,878,34,76
10-May-13,1532,180,38,115,90,1098,44,73
11-May-13,2221,271,42,194,239,1211,40,62
12-May-13,1216,148,34,87,0,1314,25,68
13-May-13,389,27,8,24,20,439,13,3
14-May-13,1223,97,48,57,158,911,36,14
15-May-13,2254,206,103,132,20,974,84,37
16-May-13,1483,95,57,115,140,724,63,17
17-May-13,1353,95,49,73,119,1961,53,10
18-May-13,1348,66,47,89,597,1363,25,10
19-May-13,319,40,8,26,20,604,12,5
20-May-13,1386,135,56,89,599,1729,27,36
21-May-13,1760,184,46,147,38,958,40,88
22-May-13,850,97,21,68,0,463,24,38
23-May-13,932,95,45,51,390,2697,2,27
24-May-13,1120,119,49,74,119,1610,34,44
25-May-13,1356,142,30,169,798,4620,29,16
26-May-13,1568,146,33,146,120,1910,15,63
27-May-13,2327,256,62,192,173,1966,49,60
28-May-13,1167,114,31,110,212,689,21,47
29-May-13,2006,257,43,161,400,1678,45,94
30-May-13,1614,200,35,124,20,1136,30,78
31-May-13,2547,324,90,164,290,2082,131,76
1-Jun-13,2064,261,45,177,140,1138,52,71
2-Jun-13,1750,188,39,159,584,1935,30,64
3-Jun-13,1552,168,47,120,277,1295,23,64
4-Jun-13,2018,228,45,189,432,1271,40,83
5-Jun-13,2180,263,55,163,262,1510,37,101
6-Jun-13,1535,184,36,117,424,944,31,78
7-Jun-13,1478,171,38,115,424,795,25,61
8-Jun-13,2671,345,82,196,220,2174,78,59
9-Jun-13,1487,61,56,184,145,1010,9,50
10-Jun-13,2170,235,49,215,737,2103,49,74
11-Jun-13,1636,63,63,203,382,1431,10,38
12-Jun-13,2461,267,63,227,588,3109,48,93
13-Jun-13,1586,58,60,199,417,1296,13,42
14-Jun-13,1548,46,66,191,400,1134,10,39
15-Jun-13,2568,319,64,203,284,2061,85,72
16-Jun-13,1498,70,57,182,572,1366,5,47
17-Jun-13,2449,270,63,227,577,2575,66,82
18-Jun-13,1410,50,56,177,188,1253,7,33
19-Jun-13,3273,332,110,248,707,3352,105,76
20-Jun-13,1448,52,55,189,382,1391,7,32
21-Jun-13,1217,39,49,157,395,1241,11,25
22-Jun-13,2728,392,57,182,280,2554,104,49
23-Jun-13,2143,215,54,214,314,2013,47,58
24-Jun-13,1277,49,47,164,355,1520,7,27
25-Jun-13,3157,301,106,261,690,3434,102,56
27-Jun-13,2546,236,66,263,759,2039,42,71
28-Jun-13,2290,235,115,139,503,2263,175,16
29-Jun-13,2408,264,78,187,585,1490,38,81
30-Jun-13,1247,136,40,93,848,1014,14,56
1-Jul-13,3611,347,137,243,1157,3700,120,42
2-Jul-13,1312,72,41,61,636,856,10,30
3-Jul-13,993,95,31,93,352,433,20,26
4-Jul-13,787,33,40,89,96,705,5,20
5-Jul-13,1616,62,77,169,380,1097,7,27
6-Jul-13,1945,206,48,172,90,1283,38,50
7-Jul-13,1323,115,49,114,424,1175,15,48
8-Jul-13,1732,155,52,169,836,1414,32,55
9-Jul-13,1674,154,60,143,494,1318,21,68
10-Jul-13,1675,157,61,141,494,1328,20,65
11-Jul-13,1925,167,72,168,614,1426,35,53
12-Jul-13,1597,142,63,133,257,1314,24,59
13-Jul-13,1045,102,30,109,517,4098,29,28
14-Jul-13,2104,246,59,162,130,1131,47,55
15-Jul-13,1261,133,42,98,248,660,16,48
16-Jul-13,1950,195,66,173,576,1622,33,63
17-Jul-13,1775,194,56,142,443,1380,23,76
18-Jul-13,1935,201,60,171,573,1937,32,75
19-Jul-13,1737,180,64,131,497,1528,18,72
20-Jul-13,2040,226,59,159,215,1378,48,40
21-Jul-13,1789,160,65,150,469,1065,29,69
22-Jul-13,1822,179,55,171,526,1265,37,66
23-Jul-13,1709,187,63,121,426,1063,36,80
24-Jul-13,2095,191,77,187,922,908,30,50
25-Jul-13,1283,124,51,92,426,546,22,52
26-Jul-13,1995,177,83,165,575,1443,56,54
27-Jul-13,2332,295,58,163,165,2057,67,53
28-Jul-13,1488,187,57,80,287,1173,53,44
29-Jul-13,2005,156,89,177,538,2699,101,16
30-Jul-13,1358,47,38,208,316,2361,18,14
31-Jul-13,1238,46,52,143,569,1804,15,11
1-Aug-13,2933,201,112,271,625,2351,110,10
2-Aug-13,2119,173,68,202,720,3138,62,17
3-Aug-13,1483,69,58,172,385,1830,25,11
4-Aug-13,1339,52,54,168,702,1321,15,20
5-Aug-13,2206,308,55,120,398,2305,110,17
6-Aug-13,1450,65,49,181,362,1438,28,22
7-Aug-13,1807,160,89,110,531,1314,73,31
8-Aug-13,1245,70,41,130,676,1252,23,8
9-Aug-13,1765,91,90,161,629,2331,37,17
10-Aug-13,180,2,10,20,7,113,1,0
11-Aug-13,434,19,27,27,212,912,8,3
12-Aug-13,1169,44,41,130,358,2755,20,5
13-Aug-13,926,23,47,95,376,1398,7,5
14-Aug-13,1217,77,42,133,165,2422,28,23
15-Aug-13,1555,57,69,177,407,2108,22,20
16-Aug-13,1502,66,58,190,331,2515,25,34
17-Aug-13,1710,90,87,155,281,3362,31,34
18-Aug-13,1665,58,67,205,448,1429,27,30
19-Aug-13,1265,58,55,144,870,2293,21,12
20-Aug-13,1122,43,45,107,218,1711,7,11
21-Aug-13,1142,58,33,88,122,1852,0,13
22-Aug-13,738,8,42,81,149,131,0,11
23-Aug-13,1457,111,75,94,204,1195,66,17
24-Aug-13,581,35,35,43,70,293,12,17
25-Aug-13,1121,103,39,93,77,1481,37,46
26-Aug-13,1367,83,52,130,207,3003,31,29
27-Aug-13,1355,53,69,153,230,1787,13,13
28-Aug-13,3051,120,187,264,198,5320,43,55
29-Aug-13,1836,60,114,165,170,2093,20,26
30-Aug-13,1686,59,96,162,170,2131,20,29
31-Aug-13,2361,38,147,210,592,2664,12,23
1-Sep-13,1236,45,61,126,183,1233,14,22
2-Sep-13,1566,74,86,128,568,1788,23,33
3-Sep-13,1424,70,65,155,162,1349,27,26
4-Sep-13,3062,52,176,312,832,3129,18,17
5-Sep-13,1376,65,43,180,695,1460,25,22
6-Sep-13,1504,88,52,189,675,3721,29,31
7-Sep-13,1696,73,101,207,487,2411,19,29
8-Sep-13,1730,86,83,177,633,2309,25,33
9-Sep-13,1280,80,54,143,510,3026,17,33
10-Sep-13,1698,93,68,195,869,3513,28,31
11-Sep-13,1583,72,76,153,859,2033,22,30
12-Sep-13,2924,118,179,256,710,2480,41,44
13-Sep-13,1841,90,87,213,234,2107,23,28
14-Sep-13,3141,95,183,284,1096,3235,35,30
15-Sep-13,1718,94,82,179,455,1958,26,37
16-Sep-13,1675,54,63,190,434,1386,18,12
17-Sep-13,1654,66,55,223,599,2818,18,31
18-Sep-13,1901,93,57,272,862,2852,18,33
19-Sep-13,1673,94,58,206,529,2646,18,34
20-Sep-13,2004,207,69,151,832,1812,59,31
21-Sep-13,1774,93,68,201,549,1391,32,15
22-Sep-13,1641,65,75,182,764,1479,18,31
23-Sep-13,1767,88,66,212,856,1566,25,30
24-Sep-13,1846,96,81,204,766,1365,23,40
25-Sep-13,1373,64,57,151,636,1265,19,24
26-Sep-13,2221,143,71,258,847,1571,37,25
27-Sep-13,1477,80,66,151,504,1725,15,33
28-Sep-13,2063,102,83,183,389,1522,45,27
29-Sep-13,1461,76,57,153,719,1651,24,34
30-Sep-13,1694,130,53,166,657,1725,55,28
1-Oct-13,1602,80,43,229,544,1019,21,32
2-Oct-13,2142,109,60,296,757,1124,38,29
3-Oct-13,1788,74,56,251,544,1139,18,33
4-Oct-13,1930,125,51,257,258,779,44,20
5-Oct-13,2163,88,76,291,364,1199,40,15
6-Oct-13,1750,75,67,216,582,1376,19,33
7-Oct-13,2269,79,69,340,645,1088,40,19
8-Oct-13,1525,54,69,177,582,879,18,20
9-Oct-13,2143,111,64,283,675,1632,37,24
10-Oct-13,1938,103,78,214,728,2470,26,43
11-Oct-13,2569,209,84,266,689,2740,59,36
12-Oct-13,2025,77,88,257,700,2230,20,32
13-Oct-13,599,11,21,93,103,281,3,6
14-Oct-13,826,16,51,75,397,1088,3,6
15-Oct-13,843,5,11,56,176,464,2,1
16-Oct-13,700,25,25,55,75,439,0,1
17-Oct-13,1143,29,43,80,149,1757,4,12
18-Oct-13,117,18,5,9,0,282,1,6
19-Oct-13,1656,142,68,208,1076,4836,11,75
20-Oct-13,1724,11,116,154,1234,1396,3,4
21-Oct-13,1405,58,78,114,1282,1710,23,17
22-Oct-13,1363,57,60,149,728,1442,16,21
23-Oct-13,1876,96,77,210,1231,2503,26,44
24-Oct-13,1491,45,74,162,1382,1441,13,18
25-Oct-13,1549,52,82,160,590,942,18,20
26-Oct-13,1536,43,80,151,570,1216,15,19
27-Oct-13,1410,16,92,108,590,3967,10,9
28-Oct-13,1311,35,72,129,1018,956,11,16
29-Oct-13,1513,42,93,129,1113,1689,11,16
30-Oct-13,1215,25,55,150,490,1482,12,10
31-Oct-13,1630,40,89,157,1164,2643,13,15
1-Nov-13,1128,44,55,98,309,696,20,21
2-Nov-13,940,27,50,67,220,486,18,10
3-Nov-13,914,44,47,57,160,1762,21,19
4-Nov-13,940,53,49,59,125,2122,22,25
5-Nov-13,1417,35,83,128,1074,1027,11,16
6-Nov-13,1453,42,104,86,1020,928,17,17
7-Nov-13,1190,43,56,120,1014,984,24,10
8-Nov-13,502,6,14,21,60,740,1,2
9-Nov-13,230,6,14,21,60,740,1,2
10-Nov-13,1303,30,60,125,384,573,22,11
11-Nov-13,845,66,37,72,818,663,14,27
12-Nov-13,1022,63,42,90,289,4512,25,16
13-Nov-13,1125,87,40,95,300,3950,35,20
14-Nov-13,748,44,27,65,180,1226,16,20
15-Nov-13,884,22,37,100,914,1032,11,10
16-Nov-13,1198,65,45,99,915,644,30,22
17-Nov-13,1261,76,43,129,615,1728,23,34
18-Nov-13,872,68,29,72,955,3362,20,29
19-Nov-13,1018,103,30,85,970,5369,38,36
20-Nov-13,1355,77,42,160,1104,5510,26,31
21-Nov-13,1288,105,40,129,1149,5052,41,37
22-Nov-13,1422,65,47,183,1012,3060,21,27
23-Nov-13,1279,80,39,130,1335,1207,22,29
24-Nov-13,1556,86,40,184,1051,1485,28,23
25-Nov-13,1398,76,47,162,2344,2347,22,24
26-Nov-13,1200,76,35,140,1200,2047,20,28
27-Nov-13,988,95,29,87,795,1542,17,47
28-Nov-13,1496,131,38,152,585,2599,32,59
29-Nov-13,808,46,34,71,990,1665,12,27
30-Nov-13,1745,122,53,169,734,1374,31,29
1-Dec-13,1269,108,61,65,553,2028,11,19
2-Dec-13,1563,84,39,195,753,1171,37,33
3-Dec-13,1155,90,44,86,940,1466,25,47
4-Dec-13,1302,97,39,113,1000,4630,24,60
5-Dec-13,1355,162,33,105,575,665,35,29
6-Dec-13,1198,83,42,109,993,4352,29,38
7-Dec-13,1447,96,68,111,1072,8576,39,41
8-Dec-13,1740,187,31,175,324,853,50,23
9-Dec-13,1000,49,48,86,1160,1033,14,22
10-Dec-13,1606,163,52,129,765,1285,32,25
11-Dec-13,1342,127,53,92,1275,1216,22,46
12-Dec-13,1734,133,57,165,960,2037,39,48
13-Dec-13,1091,55,46,103,1243,1372,22,25
14-Dec-13,1523,128,37,144,791,1226,53,26
